id,지표명,실시간여부,실시간참고,정의,원천데이터,산식,제공목적,차트형태,참고
data_001,매출액,Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.","선택 기간(일간/주간/월간) 총 주문금액, 최근 3개월 내 화살표로 기간 이동 가능. 각 탭의 진행 중인 현재 기간(오늘/이번 주/이번 달)은 인근매장 평균 대비 배지만, 마감된 과거 기간은 인근매장 평균 대비 + 전일·전주·전월 대비 배지를 함께 표시",,,기본 매출 현황,"KPI 카드 (2x2 그리드 내, 좌상단)",
data_002,주문 건수,Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.","집계기간 총 주문 수. 진행 중인 현재 기간은 인근매장 평균 대비 배지만, 마감된 기간은 전일·전주·전월 대비 배지도 함께 표시",,,기본 매출 현황,"KPI 카드 (2x2 그리드 내, 우상단)",
data_003,객단가,Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.","주문 1건당 평균 금액. 진행 중인 현재 기간은 브랜드 평균 대비 배지만, 마감된 기간은 전일·전주·전월 대비 배지도 함께 표시",,,단가 전략 참고,"KPI 카드 (2x2 그리드 내, 좌하단)",
data_004,취소율,Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.","전체 주문 중 취소 비중. 진행 중인 현재 기간은 브랜드 평균 대비 배지만, 마감된 기간은 전일·전주·전월 대비 배지도 함께 표시",,,운영 이슈 조기 파악,"KPI 카드 (2x2 그리드 내, 우하단)",
data_005,시간대별 분포,Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.",1시간 단위 주문건수,,,"피크타임 파악, 인력배치 참고","가로 세로 막대차트 (7개 시간대, 높이로 건수 표현)",
data_006,요일별 누적,Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.","주간 탭 기준, 가장 최근 주의 요일별 매출 누적",,,요일 패턴 파악,"요일별 막대차트 (월~일 7개, 아직 안 지난 요일은 막대 없음, 오늘은 강조색)",
data_007,요일별 평균,Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.","월간 탭 기준, 가장 최근 달의 요일별 매출 평균",,,"요일 패턴, 이상치 파악","요일별 막대차트 (월~일 7개 전부 표시, 미래 요일도 지나간 데이터로 평균)",
data_008,인기 메뉴 Top N,Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.",판매량 상위 메뉴,,,"메뉴 구성, 추천메뉴 참고","리스트 카드 (1~3번 메뉴명, 우측에 건수)",
data_009,배달/픽업 비중,Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.",배달유형별 비중,,,채널 운영전략,"도넛/파이 차트 (2개 슬라이스, 텍스트 라벨 표시)",
data_010,채널별 매출,Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.",배달채널(해피오더/배민/쿠팡이츠/요기요/땡겨요)별 매출,,,채널별 성과 비교,"세로 막대차트 (5개 채널, 높이로 매출액 표현, 투명도 단계 적용)",
